"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Mid-scale Research Infrastructure-1","U.S. National Science Foundation","","2027-02-08","2024-08-20","19999999","100000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-598","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24598","infrastructure; workforce; professional development; implementation; accessibility; stem; career; science","NSF-supported science and engineering research increasingly relies on cutting-edge infrastructure. With its Major Research Instrumentation (MRI) program and Major Multi-user Facilities (""Major Facilities"") projects, NSF supports infrastructure projects at the lower and higher range of infrastructure project costs, Foundation-wide, across science and engineering research disciplines. The Foundation-wide Mid-scale Research Infrastructure opportunity is intended to provide NSF with an agile, Foundation-wide process to fund experimental research capabilities in the mid-scale range between MRI and Major Multi-user Facilities. NSF defines Research Infrastructure (RI) as any combination of facilities, equipment, instrumentation, or computational hardware or software, and the necessary human capital in support of the same. Major facilities and mid-scale projects are subsets of research infrastructure. The NSF Mid-scale Research Infrastructure-1 Program (Mid-scale RI-1) supports either design activities or implementation of unique and compelling RI projects. Mid-scale implementation projects may include any combination of equipment, instrumentation, cyberinfrastructure, broadly used large scale datasets and the personnel needed to successfully commission the project. Mid-scale RI-1 design activities include the design efforts intended to lead to eventual implementation of a mid-scale class RI project. Mid-scale RI-1 projects should involve the training of a diverse workforce engaged in the design and implementation of STEM research infrastructure. Mid-scale RI-1 projects should directly enable advances in any of the research domains supported by NSF. Projects may also include upgrades to existing research infrastructure. Mid-scale RI-1 emphasizes strong scientific merit, a response to an identified need of the research community and/or fulfillment of a national need to enable U.S. researchers to be competitive in a global research environment. Well-conceived technical and management plans are essential for both design and implementation proposals, as are well-developed plans (e.g., mentoring and professional development) for student training and the involvement of a diverse STEM workforce in all aspects of mid-scale design and/or implementation activities. The inclusion of individual project participants that will lead to a supportive working environment is especially encouraged at all levels of the project team. Within Mid-scale RI-1, proposers may submit two types of projects, ""Implementation"" (e.g., acquisition and/or construction) or ""Design"". The ""Design"" track is intended to facilitate progress toward readiness for a mid-scale range implementation project. Both Implementation projects and Design activities may involve new or upgraded research infrastructure. Mid-scale RI-1 ""Implementation"" projects may have a total project cost ranging from $4 million up to but not including $20 million. Mid-scale RI-1 ""Design"" activities may request less than $4 million, with a minimum request of $400,000 and a maximum request up to but not including $20 million, as appropriate, to prepare for a future mid-scale range implementation project. Note: Successful award of a Mid-scale RI-1 design activity does not imply NSF's commitment to the future implementation of the project being designed, nor is a Mid-scale RI-1 design award required for the submission of an implementation project. The Mid-scale RI-1 Program seeks to broaden the representation of PIs and institutions in its award portfolio, including a geographically diverse set of institutions (especially those in EPSCoR jurisdictions). Proposals submitted by, or involving partnerships between institutions are encouraged. Participation in this opportunity is encouraged for the full spectrum of diverse talent society has to offer to include PIs who are women, early-career researchers, persons with disabilities, or members of other groups underrepresented in STEM. To improve participation in science and engineering research for persons with disabilities, Mid-scale RI-1 encourages PIs to incorporate accessibility as part of Mid-scale RI-1 design activity and implementation projects. Please consult NSF's Research Infrastructure Guide, or RIG (available at https://www.nsf.gov/bfa/lfo/lfo_documents.jsp ), for definitions of certain terms used in this solicitation, such as the Project Execution Plan (PEP) and Design and Execution Plan (DEP). The RIG provides guidance specific to Mid-scale Research Infrastructure Projects, including references to other parts of the RIG as needed. Note that PEP or DEP should be appropriately scaled for the complexity of the project and may not require all of the elements described in the RIG. Mid-scale research infrastructure projects with total project costs beyond the Mid-scale RI-1 Program limit are separately solicited through the Mid-scale RI-2 Program. Proposals to the Mid-scale RI-1 Program with total project costs outside of this solicitation's budgetary limits, either during initial submission or after cost analyses/revisions during subsequent review, are subject to return without further review."
"Mid-Career Advancement","U.S. National Science Foundation","","2027-03-01","2022-06-11","","18000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","22-603","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf22603","career; skills; science; engineering","The MCA program offers an opportunity for scientists and engineers at the mid-career stage (see restrictions under Additional Eligibility Information) to substantively enhance and advance theirresearch program and career trajectory. Mid-career scientists are at a critical career transition stage where they need to advance their research programs to ensure long-term productivity and creativity but are often constrained by service, teaching, or other activities that limit the amount of time devoted to research. The MCA program provides protected time, resources, and the means to gain new skills through synergistic and mutually beneficial partnerships, typically at an institution other than the candidate's home institution. Partners from outside the Principal Investigator's (PI) own subdiscipline or discipline are encouraged, but not required, to enhance interdisciplinary networking and convergence across science and engineering fields. Research p rojects that envision new insights on existing problems or identify new problems made accessible with cutting-edge methodology or expertise from other fields are encouraged . A key component of a successful MCA will be the demonstration that the PI's currentresearch program could substantively benefit from the protected time, mentored partnership(s), and resources provided through this program, such thatthere is a substantial enhancement to the PI's research and career trajectory, enabling scientific and academic advancementnot likely without this support. The MCA is the only cross-directorate NSF program specifically aimed at providing protected time and resources to established scientists and engineers targeted at the mid-career stage.Participating programs in the Directorates for Biological Sciences (BIO), Geosciences (GEO), Social, Behavioral and Economic Sciences (SBE), and Education and Human Resources (EHR) will accept MCA proposals. To help identify the disciplinary program in which the MCA should be reviewed, PIs are urged to investigate the research areas supported by the different directorates and participating programs. PIs are strongly encouraged to discuss the suitability of their MCA proposal with a Program Officer from the appropriate directorate (see https://new.nsf.gov/funding/opportunities/mca-mid-career-advancement/announcements/111199 ).PIs from EPSCoR jurisdictions are especially encouraged to apply."
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program","U.S. National Science Foundation","","2027-03-02","2024-12-03","5000000","120000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-514","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25514","evidence; teacher; rural; stem; higher education; undergraduate; college; student success","The main goal of the S-STEM program is to enable academically talented, low-income students to pursue successful careers in promising STEM fields. Ultimately, the S-STEM program seeks to increase the number of academically promising low-income students who graduate with an S-STEM eligible degree and contribute to the American innovation economy with their STEM knowledge. Recognizing that financial aid alone cannot increase retention and graduation in STEM, the program provides awards to institutions of higher education (IHEs) not only to fund scholarships, but also to adapt, implement, and study evidence-based curricular and co-curricular [a] activities that have been shown to be effective in supporting recruitment, retention, transfer (if appropriate), student success, academic/career pathways, and graduation in STEM. To be eligible, scholars must be domestic low-income students with academic ability, talent, or potential and demonstrated unmet financial need who are enrolled in an associate, baccalaureate, or graduate degree program in an S-STEM eligible discipline. Proposers must provide an analysis that articulates the characteristics and academic needs of the population of students they are trying to serve. NSF is particularly interested in supporting the attainment of degrees in fields identified as critical needs for the Nation. It is up to the proposer to make a compelling case that such a field serves a critical need in the United States. [a] an activity at a school or college pursued in addition to the normal course of study. S-STEM Eligible Degree Programs Associate of Arts, Associate of Science, Associate of Engineering, and Associate of Applied Science Bachelor of Arts, Bachelor of Science, Bachelor of Engineering and Bachelor of Applied Science Master of Arts, Master of Science, and Master of Engineering Doctoral (Ph.D. or other comparable doctoral degree) S-STEM Eligible Disciplines Disciplinary fields in which research is funded by NSF, including technology fields associated with the S-STEM-eligible disciplines (e.g., biotechnology, chemical technology, engineering technology, information technology, etc.). The following degrees and disciplines areexcluded: Clinical degree programs, including medical degrees, nursing, veterinary medicine, pharmacy, physical therapy, and others not funded by NSF, are ineligible degrees. Programs for STEM teacher certification or licensure currently covered by the Robert Noyce Teacher Scholarship program (NOYCE) are ineligible for S-STEM funding. Business school programs that lead to Bachelor of Arts or Science in Business Administration degrees (BABA/BSBA/BBA) are not eligible for S-STEM funding. Masters and Doctoral degrees in Business Administration are also excluded. Proposers are strongly encouraged to contact Program Officers before submitting a proposal if they have questions concerning degree or disciplinary eligibility. The S-STEM program particularly encourages proposals from 2-year institutions, predominately undergraduate institutions, and urban, suburban, and rural public institutions."
"Higher Education & Career Pathways Causal Research to Improve Outcomes for Part-Time Students RFP Closed","Arnold Ventures","Private foundation","","","","","","","74","","https://assets.arnoldventures.org/uploads/PDFs/202605-AV_RFP_PT-Student-Success.pdf","outcomes; higher education; career; career pathways; pathways; causal","Private foundation. Matched source page for Arnold Ventures. Higher Education & Career Pathways Causal Research to Improve Outcomes for Part-Time Students RFP Closed"
"Grants and Funding Resources Information and resources on K-12 school funding, grants and programs","Oregon Department of Education Grants","State funding","","","","","","","68","","https://www.oregon.gov/ode/schools-and-districts/grants","k-12","State funding. Matched source page for Oregon Department of Education Grants. Grants and Funding Resources Information and resources on K-12 school funding, grants and programs"
"Oregon Accelerated College Credit Program Grant","Oregon Department of Education Grants","State funding","","","","","","","68","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Oregon-Accelerated-College-Credit-Program-Grant.aspx","college","State funding. Matched source page for Oregon Department of Education Grants. Oregon Accelerated College Credit Program Grant"
"Available Funding","California Department of Education Funding","State funding","","","","","","","64","","https://www.cde.ca.gov/fg/fo/af/","","State funding. Matched source page for California Department of Education Funding. Available Funding"
"Federal Grants","Hawaii Department of Education Grants","State funding","","","","","","","64","","https://hawaiipublicschools.org/about/federal-grants/","","State funding. Matched source page for Hawaii Department of Education Grants. Federal Grants"
"Learning and Evaluation","ECMC Foundation","Private foundation","","","","","","","60","","https://www.ecmcfoundation.org/what-we-do/learning-and-evaluation/","learning; evaluation","Private foundation. Matched source page for ECMC Foundation. Learning and Evaluation"
"Advanced Placement Course Implementation Grant","Illinois State Board of Education Grants","State funding","","","","","","","56","","https://www.isbe.net/Pages/Advanced-Placement.aspx","implementation","State funding. Matched source page for Illinois State Board of Education Grants. Advanced Placement Course Implementation Grant"
"English Learning and Migrant Education","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/english-learning-and-migrant-education","learning","State funding. Matched source page for Indiana Department of Education Grants. English Learning and Migrant Education"
"1008 Grants (Student Learning Recovery Program)","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/1008-grants","learning","State funding. Matched source page for Indiana Department of Education Grants. 1008 Grants (Student Learning Recovery Program)"
"Early Intervention Grant","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/early-intervention-grant","intervention","State funding. Matched source page for Indiana Department of Education Grants. Early Intervention Grant"
"State Summer Learning Grants","Oregon Department of Education Grants","State funding","","","","","","","56","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Summer%20Learning/State-Summer-Learning-Grants.aspx","learning","State funding. Matched source page for Oregon Department of Education Grants. State Summer Learning Grants"
"Today’s Credentials &rarr;","Lumina Foundation","Private foundation","","","","","","","54","","https://www.luminafoundation.org/topics/todays-credentials/","credentials","Private foundation. Matched source page for Lumina Foundation. Today’s Credentials &rarr;"
"University Success","Michael & Susan Dell Foundation","Private foundation","","","","","","","54","","https://www.dell.org/university-success/","university","Private foundation. Matched source page for Michael & Susan Dell Foundation. University Success"
"Capital Improvement Grants and Projects","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/facilities/facilitiescip","","State funding. Matched source page for Alaska Department of Education Grants. Capital Improvement Grants and Projects"
"Federal Grants Management","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/grants/fed-grants","","State funding. Matched source page for Alaska Department of Education Grants. Federal Grants Management"
"Quality Schools Grant","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/tls/qualityschools/","","State funding. Matched source page for Alaska Department of Education Grants. Quality Schools Grant"
"Apply for a US Department of Education Federal Grant","Alaska Department of Education Grants","State funding","","","","","","","52","","https://www2.ed.gov/fund/grant/apply/grantapps/index.html?src=ft","","State funding. Matched source page for Alaska Department of Education Grants. Apply for a US Department of Education Federal Grant"
"Consolidated Application","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/aa/co/","","State funding. Matched source page for California Department of Education Funding. Consolidated Application"
"Migrant/International","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/sp/me/","","State funding. Matched source page for California Department of Education Funding. Migrant/International"
"Ag CTE Incentive Grant RFA FY 2026-27","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r17/agin26rfa.asp","","State funding. Matched source page for California Department of Education Funding. Ag CTE Incentive Grant RFA FY 2026-27"
"RFA-25: CSESAP","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r14/csesap25rfa.asp","","State funding. Matched source page for California Department of Education Funding. RFA-25: CSESAP"
"Request for Applications","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r1/pcsgppire26rfa.asp","","State funding. Matched source page for California Department of Education Funding. Request for Applications"
"RFA-26: CSESAP","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r14/csesap26rfa.asp","","State funding. Matched source page for California Department of Education Funding. RFA-26: CSESAP"
"Competitive Grants and Awards","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdeawards","","State funding. Matched source page for Colorado Department of Education Grants. Competitive Grants and Awards"
"State and Federal Grants Allocations","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdefisgrant/allocations","","State funding. Matched source page for Colorado Department of Education Grants. State and Federal Grants Allocations"
"Request For Funds Forms (RFF)","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdefisgrant/requestforfundsforms","","State funding. Matched source page for Colorado Department of Education Grants. Request For Funds Forms (RFF)"
"Idaho Public School Facilities Cooperative Funding Application","Idaho Department of Education Funding","State funding","","","","","","","52","","https://www.sde.idaho.gov/wp-content/uploads/2025/11/Idaho-Public-School-Facilities-Cooperative-Funding-Application.docx","","State funding. Matched source page for Idaho Department of Education Funding. Idaho Public School Facilities Cooperative Funding Application"
"Finance Application Center","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/school-operations/finance/finance-application-center","","State funding. Matched source page for Indiana Department of Education Grants. Finance Application Center"
"Federal Grants","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/#Federal_Grants","","State funding. Matched source page for Indiana Department of Education Grants. Federal Grants"
"School Improvement Grants (SIG)","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/sig","","State funding. Matched source page for Indiana Department of Education Grants. School Improvement Grants (SIG)"
"State Grants","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/#State_Grants","","State funding. Matched source page for Indiana Department of Education Grants. State Grants"
"High Ability Program Grant","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/high-ability-program-grant","","State funding. Matched source page for Indiana Department of Education Grants. High Ability Program Grant"
"Grants","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://education.mn.gov/MDE/dse/grants/","","State funding. Matched source page for Minnesota Department of Education Grants. Grants"
"CFDA 84.027A, Special Education Grants to States","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://singleaudit.org/program/?id=84.027","","State funding. Matched source page for Minnesota Department of Education Grants. CFDA 84.027A, Special Education Grants to States"
"mde.compgrants@state.mn.us","Minnesota Department of Education Grants","State funding","","","","","","","52","","mailto:mde.compgrants@state.mn.us?subject=Expanded%20Tutoring,%20%3C%3Cthe%20name%20of%20your%20organization%3E%3E","","State funding. Matched source page for Minnesota Department of Education Grants. mde.compgrants@state.mn.us"
"Application Narrativ e and Assurances","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&amp;dDocName=PROD081168&amp;RevisionSelectionMethod=latestReleased&amp;Rendition=primary","","State funding. Matched source page for Minnesota Department of Education Grants. Application Narrativ e and Assurances"
"mde.compgrants@state.mn.us","Minnesota Department of Education Grants","State funding","","","","","","","52","","mailto:mde.compgrants@state.mn.us","","State funding. Matched source page for Minnesota Department of Education Grants. mde.compgrants@state.mn.us"
"Grants","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.education.ne.gov/ns/nslp/grants/","","State funding. Matched source page for Nebraska Department of Education Grants. Grants"
"Salad Bars to Schools Grant","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.thelunchbox.org/apply-for-a-grant/salad-bars-to-schools/","","State funding. Matched source page for Nebraska Department of Education Grants. Salad Bars to Schools Grant"
"KidsGardening Grant","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://kidsgardening.org/grant-opportunities/","","State funding. Matched source page for Nebraska Department of Education Grants. KidsGardening Grant"
"National School Lunch Program Equipment Assistance Grant for School Food Authorities","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.education.ne.gov/ns/nslp/equipment-grants/","","State funding. Matched source page for Nebraska Department of Education Grants. National School Lunch Program Equipment Assistance Grant for School Food Authorities"
"Grants","Nevada Department of Education Grants","State funding","","","","","","","52","","https://doe.nv.gov/grants","","State funding. Matched source page for Nevada Department of Education Grants. Grants"
"3/23/2026 - Nevada Department of Education Seeks Public Comment on IDEA Application","Nevada Department of Education Grants","State funding","","","","","","","52","","https://doe.nv.gov/news-media/2026-press-releases/nevada-department-of-education-seeks-public-comment-on-idea-application","","State funding. Matched source page for Nevada Department of Education Grants. 3/23/2026 - Nevada Department of Education Seeks Public Comment on IDEA Application"
"Grant Opportunities","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/opportunities/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Opportunities"
"Discretionary Grants","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary","","State funding. Matched source page for New Jersey Department of Education Grants. Discretionary Grants"
"Discretionary Grants Overview","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Discretionary Grants Overview"
"Grant Applications","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/apps","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Applications"
"Grant Management","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/management","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Management"
"Entitlement Grants","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement","","State funding. Matched source page for New Jersey Department of Education Grants. Entitlement Grants"
"Entitlement Grants Overview","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Entitlement Grants Overview"
"Policies and Procedures for Reimbursement of Federal and Other Grant Expenditures","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement/reiumbursement","","State funding. Matched source page for New Jersey Department of Education Grants. Policies and Procedures for Reimbursement of Federal and Other Grant Expenditures"
"Grant Development","Oklahoma State Department of Education Grants","State funding","","","","","","","52","","https://sde.ok.gov/education/services/grant-development.html","","State funding. Matched source page for Oklahoma State Department of Education Grants. Grant Development"
"Grants and Funding Resources","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/default.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Grants and Funding Resources"
"Physical Education Expansion K-8 (PEEK-8) Grants","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/educator-resources/standards/physicaleducation/pages/default.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Physical Education Expansion K-8 (PEEK-8) Grants"
"Outdoor School Grant","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/https&#58;//extension.oregonstate.edu/outdoor-school","","State funding. Matched source page for Oregon Department of Education Grants. Outdoor School Grant"
"Regional Promise Grant","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Regional-Promise-Grant.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Regional Promise Grant"
"Grants","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/","","State funding. Matched source page for South Carolina Department of Education Grants. Grants"
"Grants Accounting","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants-accounting/","","State funding. Matched source page for South Carolina Department of Education Grants. Grants Accounting"
"SCDE Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","http://ed.sc.gov/finance/grants/office-of-grant-services/scde-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Grant Opportunities"
"SCDE Current Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/scde-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Current Grant Opportunities"
"SCDE Archived Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/scde-grant-opportunities/scde-archived-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Archived Grant Opportunities"
"Grant Programs Administered by SCDE","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/grant-programs-administered-by-scde/","","State funding. Matched source page for South Carolina Department of Education Grants. Grant Programs Administered by SCDE"
"SCDE Grants Program","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/office-of-grant-services/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Grants Program"
"Grant Appeals Process","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/office-of-grant-services/grant-appeal-process/","","State funding. Matched source page for South Carolina Department of Education Grants. Grant Appeals Process"
"WDE Seeks Public Comment on 2026 Annual State Application Under Part B of IDEA and Proposed Use of Funds","Wyoming Department of Education Grants","State funding","","","","","","","52","","https://edu.wyoming.gov/wde-seeks-public-comment-on-2026-annual-state-application-under-part-b-of-idea-and-proposed-use-of-funds/","","State funding. Matched source page for Wyoming Department of Education Grants. WDE Seeks Public Comment on 2026 Annual State Application Under Part B of IDEA and Proposed Use of Funds"
"Spencer Foundation funding page","Spencer Foundation","Private foundation","","","","","","","50","","https://www.spencer.org/grant_types","","Private foundation. Source page to monitor for education funding opportunities. The scan could not extract page details this run."
"William T. Grant Foundation funding page","William T. Grant Foundation","Private foundation","","","","","","","50","","https://wtgrantfoundation.org/grants","","Private foundation. Source page to monitor for education funding opportunities. The scan could not extract page details this run."
"EdGrants & GEM$: User Guides, Information and Trainings","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","50","","https://www.doe.mass.edu/grants/edgrants.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. EdGrants & GEM$: User Guides, Information and Trainings"
"2026-27 Title I, 1003 School Improvement Grant (Instructional Systems)","New York State Education Department Funding","State funding","","","","","","","50","","https://www.nysed.gov/funding-opportunities/news/2026-27-title-i-1003-school-improvement-grant-instructional-systems","","State funding. Matched source page for New York State Education Department Funding. 2026-27 Title I, 1003 School Improvement Grant (Instructional Systems)"
"Special Education State grant application, Medicaid, more...","Washington OSPI Grants","State funding","","","","","","","50","","https://ospi.k12.wa.us/policy-funding/special-education-funding-and-finance","","State funding. Matched source page for Washington OSPI Grants. Special Education State grant application, Medicaid, more..."
"Evidence & Evaluation Impacts of Cell Phone Policies in K‑ 12 Schools RFP RFP Closed","Arnold Ventures","Private foundation","","","","","","","48","","https://assets.arnoldventures.org/uploads/PDFs/AV_RFP_Cell-Phones-in-Schools.pdf","evaluation; evidence","Private foundation. Matched source page for Arnold Ventures. Evidence & Evaluation Impacts of Cell Phone Policies in K‑ 12 Schools RFP RFP Closed"
"Learning","Walton Family Foundation","Private foundation","","","","","","","42","","https://www.waltonfamilyfoundation.org/learning","learning","Private foundation. Matched source page for Walton Family Foundation. Learning"
"21st Century Community Learning Center Grants","Illinois State Board of Education Grants","State funding","","","","","","","42","","https://www.isbe.net/Pages/21CCLC-PG.aspx","learning","State funding. Matched source page for Illinois State Board of Education Grants. 21st Century Community Learning Center Grants"
"Access & Opportunity in Education Migrant & multilingual, homeless, foster, more...","Washington OSPI Grants","State funding","","","","","","","42","","https://ospi.k12.wa.us/student-success/access-opportunity-education","multilingual","State funding. Matched source page for Washington OSPI Grants. Access & Opportunity in Education Migrant & multilingual, homeless, foster, more..."
"Advancing Public Education in India","Michael & Susan Dell Foundation","Private foundation","","","","","","","38","","https://www.dell.org/ideas/india-schools/","","Private foundation. Matched source page for Michael & Susan Dell Foundation. Advancing Public Education in India"
"Education","Walton Family Foundation","Private foundation","","","","","","","38","","https://www.waltonfamilyfoundation.org/our-work/education-program","","Private foundation. Matched source page for Walton Family Foundation. Education"
"Grants","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/Grants.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grants"
"IWAS: ISBE Web Application Security","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://apps.isbe.net/iwas","","State funding. Matched source page for Illinois State Board of Education Grants. IWAS: ISBE Web Application Security"
"Grants Management","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/Grants-Management.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grants Management"
"Grant Periodic Reporting","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/GrantPeriodicReporting.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grant Periodic Reporting"
"Grant Financial Information","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/General-Grant-Information.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grant Financial Information"
"All State and Federal Grant Programs","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/State-and-Federal-Grants.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. All State and Federal Grant Programs"
"Federal Grant Programs","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/federalgrants/","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Federal Grant Programs"
"Grants/Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants/Funding Opportunities"
"Grants/Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/default.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants/Funding Opportunities"
"Current Grants","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/current.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Current Grants"
"Previous Grants","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/pastgrants.aspx","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Previous Grants"
"Grants Updates Archive","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/?section=archive","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants Updates Archive"
"Anticipated Grant Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/anticipatedgrants.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Anticipated Grant Funding Opportunities"
"Grants","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/grants","","State funding. Matched source page for New York State Education Department Funding. Grants"
"Competitive Service Contract Procurements","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/competitive-service-contract-procurements","","State funding. Matched source page for New York State Education Department Funding. Competitive Service Contract Procurements"
